 iperf3 -c 192.168.181.214 -t 300
Connecting to host 192.168.181.214, port 5201
[  4] local 192.168.206.92 port 33596 connected to 192.168.181.214 port 5201
[  4] 210.00-211.00 sec   496 MBytes  4.16 Gbits/sec    0   2.12 MBytes       
[  4] 211.00-212.00 sec   435 MBytes  3.65 Gbits/sec    0   2.26 MBytes       
[  4] 212.00-213.00 sec   451 MBytes  3.78 Gbits/sec    0   2.41 MBytes       
[  4] 213.00-214.00 sec   488 MBytes  4.09 Gbits/sec   10   1.80 MBytes       
[  4] 214.00-215.00 sec   452 MBytes  3.79 Gbits/sec    0   1.98 MBytes       
[  4] 215.00-216.00 sec   461 MBytes  3.87 Gbits/sec    0   2.14 MBytes       
[  4] 216.00-217.00 sec   451 MBytes  3.78 Gbits/sec    0   2.29 MBytes       
[  4] 217.00-218.00 sec   451 MBytes  3.79 Gbits/sec    0   2.43 MBytes       
[  4] 218.00-219.00 sec   462 MBytes  3.88 Gbits/sec    0   2.56 MBytes       
[  4] 219.00-220.00 sec   481 MBytes  4.04 Gbits/sec    0   2.70 MBytes       
[  4] 220.00-221.00 sec   468 MBytes  3.92 Gbits/sec    0   2.82 MBytes       
[  4] 221.00-222.00 sec   500 MBytes  4.19 Gbits/sec    0   2.95 MBytes       
[  4] 222.00-223.00 sec   466 MBytes  3.91 Gbits/sec   50   1.64 MBytes       
[  4] 223.00-224.00 sec   519 MBytes  4.35 Gbits/sec    0   1.85 MBytes       
[  4] 224.00-225.00 sec   600 MBytes  5.03 Gbits/sec    0   2.08 MBytes       
[  4] 225.00-226.00 sec   476 MBytes  3.99 Gbits/sec    0   2.24 MBytes       
[  4] 226.00-227.00 sec   555 MBytes  4.66 Gbits/sec    5   1.71 MBytes       
[  4] 227.00-228.00 sec   536 MBytes  4.50 Gbits/sec    0   1.92 MBytes       
[  4] 228.00-229.00 sec   627 MBytes  5.26 Gbits/sec    1   1.51 MBytes       
[  4] 229.00-230.00 sec   563 MBytes  4.73 Gbits/sec    0   1.75 MBytes       
[  4] 230.00-231.00 sec   500 MBytes  4.20 Gbits/sec    0   1.96 MBytes       
[  4] 231.00-232.00 sec   464 MBytes  3.89 Gbits/sec   24   1.54 MBytes       
[  4] 232.00-233.00 sec   511 MBytes  4.29 Gbits/sec    0   1.77 MBytes       
[  4] 233.00-234.00 sec   481 MBytes  4.04 Gbits/sec    0   1.94 MBytes       
[  4] 234.00-235.00 sec   495 MBytes  4.15 Gbits/sec    0   2.13 MBytes       
[  4] 235.00-236.00 sec   691 MBytes  5.80 Gbits/sec   22   1.67 MBytes       
[  4] 236.00-237.00 sec   492 MBytes  4.13 Gbits/sec    0   1.87 MBytes       
[  4] 237.00-238.00 sec   499 MBytes  4.19 Gbits/sec    0   2.06 MBytes       
[  4] 238.00-239.00 sec   468 MBytes  3.92 Gbits/sec    0   2.22 MBytes       
[  4] 239.00-240.00 sec   465 MBytes  3.91 Gbits/sec    0   2.37 MBytes       
[  4] 240.00-241.00 sec   489 MBytes  4.10 Gbits/sec    0   2.52 MBytes       
[  4] 241.00-242.00 sec   592 MBytes  4.96 Gbits/sec    0   2.67 MBytes       
[  4] 242.00-243.00 sec   475 MBytes  3.98 Gbits/sec    0   2.80 MBytes       
[  4] 243.00-244.00 sec   533 MBytes  4.47 Gbits/sec    0   2.94 MBytes       
[  4] 244.00-245.00 sec   519 MBytes  4.35 Gbits/sec   65   2.15 MBytes       
[  4] 245.00-246.00 sec   402 MBytes  3.37 Gbits/sec   93    288 KBytes       
[  4] 246.00-247.00 sec   242 MBytes  2.03 Gbits/sec  107    279 KBytes       
[  4] 247.00-248.00 sec   214 MBytes  1.80 Gbits/sec  181    174 KBytes       
[  4] 248.00-249.00 sec   492 MBytes  4.13 Gbits/sec   21    807 KBytes       
[  4] 249.00-250.00 sec   510 MBytes  4.28 Gbits/sec    0   1.17 MBytes       
[  4] 250.00-251.00 sec   463 MBytes  3.89 Gbits/sec    0   1.43 MBytes       
[  4] 251.00-252.00 sec   470 MBytes  3.94 Gbits/sec    0   1.65 MBytes       
[  4] 252.00-253.00 sec   488 MBytes  4.09 Gbits/sec    0   1.85 MBytes       
[  4] 253.00-254.00 sec   526 MBytes  4.41 Gbits/sec    0   2.05 MBytes       
[  4] 254.00-255.00 sec   541 MBytes  4.54 Gbits/sec    0   2.24 MBytes       
[  4] 255.00-256.00 sec   588 MBytes  4.93 Gbits/sec    0   2.43 MBytes       
[  4] 256.00-257.00 sec   508 MBytes  4.27 Gbits/sec    0   2.58 MBytes       
[  4] 257.00-258.00 sec   501 MBytes  4.20 Gbits/sec    0   2.71 MBytes       
[  4] 258.00-259.00 sec   453 MBytes  3.80 Gbits/sec    0   2.84 MBytes       
[  4] 259.00-260.00 sec   523 MBytes  4.39 Gbits/sec    0   2.97 MBytes       
[  4] 260.00-261.00 sec   469 MBytes  3.94 Gbits/sec    0   3.00 MBytes       
[  4] 261.00-262.00 sec   503 MBytes  4.22 Gbits/sec    0   3.00 MBytes       
[  4] 262.00-263.00 sec   548 MBytes  4.60 Gbits/sec    0   3.00 MBytes       
[  4] 263.00-264.00 sec   475 MBytes  3.98 Gbits/sec    0   3.00 MBytes       
[  4] 264.00-265.00 sec   466 MBytes  3.91 Gbits/sec   10   1.48 MBytes       
[  4] 265.00-266.00 sec   510 MBytes  4.28 Gbits/sec    0   1.71 MBytes       
[  4] 266.00-267.00 sec   547 MBytes  4.59 Gbits/sec    0   1.93 MBytes       
[  4] 267.00-268.00 sec   524 MBytes  4.40 Gbits/sec    8   1.57 MBytes       
[  4] 268.00-269.00 sec   471 MBytes  3.95 Gbits/sec    5   1.36 MBytes       
[  4] 269.00-270.00 sec   452 MBytes  3.79 Gbits/sec    0   1.59 MBytes       
[  4] 270.00-271.00 sec   486 MBytes  4.08 Gbits/sec    0   1.81 MBytes       
[  4] 271.00-272.00 sec   515 MBytes  4.32 Gbits/sec    0   2.00 MBytes       
[  4] 272.00-273.00 sec   558 MBytes  4.68 Gbits/sec   15   1.06 MBytes       
[  4] 273.00-274.00 sec   451 MBytes  3.79 Gbits/sec   16   1.09 MBytes       
[  4] 274.00-275.00 sec   460 MBytes  3.86 Gbits/sec   26    725 KBytes       
[  4] 275.00-276.00 sec   427 MBytes  3.58 Gbits/sec    0   1.05 MBytes       
[  4] 276.00-277.00 sec   448 MBytes  3.76 Gbits/sec    0   1.33 MBytes       
[  4] 277.00-278.00 sec   446 MBytes  3.74 Gbits/sec    0   1.56 MBytes       
[  4] 278.00-279.00 sec   472 MBytes  3.96 Gbits/sec    0   1.77 MBytes       
[  4] 279.00-280.00 sec   521 MBytes  4.37 Gbits/sec    0   1.97 MBytes       
[  4] 280.00-281.00 sec   454 MBytes  3.81 Gbits/sec    0   2.14 MBytes       
[  4] 281.00-282.00 sec   543 MBytes  4.56 Gbits/sec    0   2.32 MBytes       
[  4] 282.00-283.00 sec   467 MBytes  3.92 Gbits/sec    0   2.46 MBytes       
[  4] 283.00-284.00 sec   484 MBytes  4.06 Gbits/sec   80   1.84 MBytes       
[  4] 284.00-285.00 sec   481 MBytes  4.03 Gbits/sec    0   2.02 MBytes       
[  4] 285.00-286.00 sec   462 MBytes  3.88 Gbits/sec    0   2.17 MBytes       
[  4] 286.00-287.00 sec   458 MBytes  3.84 Gbits/sec    0   2.32 MBytes       
